size,seed,urea,phosphate,pesticide,pseed,purea,pphosph,hiredlabor,famlabor,totlabor,wage,goutput,noutput,price
0.35,16,100,50,0,190,86,86,121,144,265,168.55,1267,1152,190
1.05,32,210,70,2000,60,73,73,370,105,475,56.48,1674,1536,50
1.05,32,210,70,2000,55,73,73,395,105,500,49.62,2442,2240,70
1.071,32,60,20,500,60,70,70,590,208,798,68.95,1689,1569,62
0.714,20,75,25,0,80,70,70,571,294,865,48.12,1302,1240,80
0.818,23,107,31,0,160,85,85,660,498,1158,132.73,2488,2262,160
0.818,23,107,31,0,190,85,85,660,470,1130,129.09,2542,2311,190
0.38,17,80,20,0,55,70,70,220,225,445,58.11,1325,1216,63
0.38,17,80,20,0,55,70,70,220,250,470,58.64,1395,1280,70
0.387,13,125,15,0,100,70,70,270,126,396,50,946,860,60
0.387,15,95,30,0,100,70,70,399,244,643,46.12,980,880,65
0.175,6,40,20,0,200,85,85,114,156,270,122.37,563,512,160
0.175,6,40,20,0,200,85,85,114,208,322,132.37,990,900,190
0.35,16,50,20,500,62.5,80,80,130,65,195,57.88,1186,1088,81
0.35,16,50,20,500,62.5,80,80,140,65,205,42.86,1261,1152,88
0.702,20,75,25,0,100,65,65,270,79,349,61.48,1540,1330,67
0.714,15,100,50,0,80,70,70,304,126,430,53.29,1420,1240,80
0.32,19,90,30,0,160,85,85,176,124,300,144.32,990,900,160
0.07,3,15,5,0,200,85,85,7,53,60,151.43,175,160,190
0.7,25,100,50,500,48,80,80,350,100,450,58.78,2093,1920,65
0.7,25,100,50,500,48,80,80,390,124,514,50,2093,1920,65
0.536,15,150,0,0,70,65,65,220,120,340,62.27,1500,1350,83
0.282,10,40,10,0,80,70,70,145,73,218,49.03,698,698,80
0.358,12,80,20,0,100,80,90,85,263,348,121.18,1022,930,160
0.358,14,80,20,0,100,90,90,130,223,353,140.77,1250,1164,190
0.175,5,30,15,100,50,80,80,45,116,161,57.14,341,310,64
0.35,9,60,30,100,60,80,80,175,346,521,48,825,750,72
0.358,10,70,30,0,100,65,65,161,66,227,43.79,950,875,75
0.3,11,90,30,0,100,70,70,374,128,502,44.12,900,820,65
0.358,10,100,24,0,200,80,85,185,181,366,120,1253,1139,160
0.358,10,100,24,0,200,85,90,185,192,377,130,1227,1116,190
0.38,18,125,25,300,80,70,70,107,127,234,58.81,1375,1250,72
0.38,18,125,25,300,80,70,70,137,127,264,54.74,1650,1500,80
0.536,18,150,15,0,70,65,65,128,200,328,57.97,1848,1680,67
0.536,15,141,9,0,80,70,70,150,261,411,54,996,996,97
0.774,27,150,10,0,160,85,85,450,167,617,150,2391,2176,160
0.724,27,150,10,0,200,85,90,505,154,659,157.03,2391,2176,190
0.18,3,40,20,0,50,65,65,57,64,121,57.63,550,500,70
0.18,3,40,20,0,50,75,75,77,216,293,48.05,660,600,80
0.1,3,25,10,0,65,70,70,21,111,132,42.86,425,380,80
0.179,3,25,5,0,80,70,70,25,65,90,55,341,310,80
0.179,4,25,10,0,160,85,85,10,95,105,140,493,448,160
0.179,4,20,20,0,190,85,85,20,95,115,130,634,576,190
0.207,8,40,10,0,50,80,80,132,82,214,54.93,550,500,64
0.18,6,40,10,0,50,80,80,156,105,261,46.79,687,625,80
0.565,10,50,25,0,50,70,70,89,294,383,44.38,1200,1080,65
0.536,9,120,20,0,80,68,70,245,295,540,56.12,1159,1054,104
0.536,15,160,50,0,147,80,85,260,239,499,130.77,1608,1485,160
0.536,15,160,50,0,147,90,90,210,232,442,119.05,2070,1920,190
0.17,4,30,5,0,62.5,70,70,65,55,120,41.79,558,512,63
0.17,4,30,5,0,62.5,70,70,65,65,130,44.62,558,512,70
0.179,4,20,5,0,55,70,70,54,181,235,41.67,563,503,60
0.179,4,25,5,0,80,70,70,72,40,112,55.9,558,510,80
0.339,15,150,40,0,160,85,85,176,256,432,126.14,1210,1100,160
0.339,15,150,40,0,190,85,85,176,244,420,136.14,1492,1356,190
0.35,15,75,25,250,70,80,80,185,85,270,53.11,1265,1150,60
0.35,15,75,25,250,70,80,80,185,85,270,50.81,1430,1300,78
0.427,17,125,15,0,100,70,70,190,130,320,49.74,1200,1080,70
0.427,15,50,10,100,100,70,70,399,147,546,47.87,1240,1040,65
0.714,20,250,50,2500,160,85,85,251,110,361,149.8,1760,1600,160
0.714,20,250,50,2500,190,90,90,351,110,461,140.8,2464,2240,190
0.7,20,80,45,0,55,80,80,225,55,280,46.7,1156,1060,60
0.7,20,80,42,0,55,78,80,240,55,295,41.25,1716,1560,70
0.993,40,250,50,0,82,65,65,339,140,479,51.86,3090,2790,70
1.071,30,250,50,0,74,65,65,980,340,1320,46.3,2346,2046,89
1.036,30,360,240,2200,160,85,85,684,100,784,142.68,2200,2000,160
1.036,30,360,240,2200,190,85,85,510,100,610,142.68,4400,4000,190
0.525,14,50,25,500,80,78,80,225,115,340,52.86,1100,1000,70
0.525,14,50,25,500,80,76,76,225,115,340,53.33,1617,1470,78
0.25,5,10,5,0,60,70,70,40,47,87,67.5,400,320,65
0.175,5,50,0,0,80,70,70,130,88,218,54.62,486,392,80
0.923,25,240,55,0,200,82,82,460,294,754,131.96,2316,2106,160
0.923,25,265,55,0,200,85,90,460,310,770,131.96,2922,2656,190
0.556,14,150,50,0,60,80,80,228,64,292,52.61,825,750,56
0.556,14,150,50,0,60,80,80,183,64,247,61.58,1288,1175,80
0.546,10,150,50,1025,72,70,70,240,131,371,59.58,1060,860,62
0.536,15,60,10,300,100,70,70,266,108,374,48.31,900,840,65
0.566,17,100,33,0,160,85,85,330,232,562,123.33,1027,934,160
0.566,17,110,33,0,190,85,85,330,232,562,130.3,2154,1958,190
1.05,20,100,50,0,90,75,75,534,80,614,51,2387,2170,60
0.7,15,80,40,0,90,80,80,376,80,456,50.53,2046,1860,70
0.841,32,100,15,0,80,65,65,490,324,814,59.39,1540,1400,66
0.753,17,150,50,0,80,65,65,410,304,714,47.2,2086,1900,85
0.357,14,125,25,1100,100,88,88,160,172,332,151.25,1008,928,160
0.357,14,125,25,0,100,85,85,160,196,356,141.25,1146,1056,190
0.23,13,40,15,900,40,80,80,186,138,324,59.68,1200,1080,50
0.171,10,30,10,0,60,80,80,160,64,224,55,930,837,60
0.314,15,60,40,0,80,70,70,50,281,331,59,1232,1120,50
0.286,9,50,20,0,100,70,70,108,107,215,54.63,348,337,100
0.25,8,80,80,0,140,90,90,266,127,393,137.41,1050,945,140
0.221,8,50,50,0,160,90,90,222,144,366,144.82,900,810,160
0.42,15,125,75,500,40,80,80,142,160,302,55,975,885,55
0.07,7,30,10,0,60,80,80,32,52,84,55.63,250,230,60
0.43,12,75,125,250,80,70,70,152,69,221,45.39,800,763,64
0.3,10,50,20,0,100,70,70,154,126,280,56.82,520,520,90
0.857,20,150,50,0,140,85,85,825,855,1680,127.82,2150,2020,140
0.286,8,50,20,0,150,100,100,132,173,305,132.12,700,700,150
0.112,5,15,10,0,40,72.5,72.5,1,90,90,56.67,450,435,50
0.07,4,10,2,0,105,72.5,72.5,1,69,69,45.5,130,130,60
0.143,4,20,5,0,70,70,70,6,110,116,56.67,500,500,56
0.086,4,1,2,0,80,70,70,1,105,105,48.5,185,180,70
0.071,4,25,15,0,140,80,80,91,52,143,117.69,360,330,140
0.036,2,8,7,0,150,90,90,39,29,68,135.38,200,180,150
0.455,20,150,50,500,40,80,80,200,359,559,54.5,1370,1233,60
0.07,3,15,10,0,60,80,80,1,61,61,45.5,250,225,60
0.464,20,150,50,0,70,65,65,480,212,692,57.61,1496,1356,56
0.14,5,25,15,0,100,70,70,63,84,147,51.59,250,250,80
0.457,27,200,150,1000,140,80,80,376,374,750,126.33,2000,1800,140
0.314,22,120,60,0,150,90,90,285,230,515,133.86,1638,1475,150
0.143,6,18,18,0,45,75,76,65,110,175,52.31,310,279,50
0.036,3,5,5,0,50,80,80,45,19,64,43.33,100,100,65
0.143,6,35,35,0,80,70,70,28,35,63,52.86,420,380,56
0.085,2,6,4,0,100,70,70,59,31,90,45.76,130,130,80
0.071,2,17,8,0,140,90,90,40,89,129,128,300,270,140
0.036,2,10,5,0,160,100,100,28,12,40,131.43,98,98,160
0.214,7,40,40,360,40,80,80,284,104,388,41.61,700,630,55
0.214,7,40,40,0,60,80,80,184,109,293,54.08,600,550,68
0.143,6,30,20,0,50,70,70,24,67,91,63.33,320,300,65
0.143,5,32,10,0,75,70,70,42,76,118,59.52,280,265,80
0.214,7,70,70,0,100,90,90,86,153,239,122.79,500,400,140
0.214,7,60,60,0,150,90,95,38,120,158,135.79,350,350,150
0.196,10,15,10,0,40,85,85,1,217,217,57.14,616,554,50
0.14,5,15,15,0,60,70,70,1,126,126,45.5,230,230,60
0.143,6,15,15,0,65,75,75,1,98,98,66.28,224,224,65
0.126,5,19,19,0,80,75,75,1,104,104,48.5,225,225,80
0.143,5,25,10,0,140,100,100,1,141,141,129.35,550,550,140
0.143,5,25,10,0,140,100,100,1,141,141,120.5,550,550,160
0.429,30,90,60,360,40,80,80,366,78,444,35.16,1333,1200,55
0.143,10,30,20,0,60,80,80,146,42,188,35.62,440,400,60
0.28,20,70,40,0,70,70,70,111,88,199,60.18,800,720,56
0.213,10,40,20,0,80,72,72,159,31,190,47.17,380,341,80
0.4,12,150,50,0,150,90,90,322,63,385,137.58,1667,1500,140
0.25,8,100,30,0,160,100,100,207,50,257,139.13,1300,1100,160
0.49,25,200,100,500,42,70,70,123,246,369,55.2,1500,1350,50
0.34,10,60,20,0,60,80,80,27,152,179,59.26,685,625,64
0.5,15,75,75,0,65,70,70,305,331,636,65.14,1300,1180,65
0.143,10,23,36,0,80,70,70,93,56,149,60.75,250,210,80
1.114,33,260,75,0,150,90,90,425,663,1088,120.66,2789,2592,140
0.557,15,130,40,0,200,100,100,253,308,561,128.46,2395,1980,160
0.086,8,50,25,0,40,80,80,68,62,130,31.43,378,341,50
0.043,3,13,12,0,60,80,80,15,71,86,53.33,207,186,60
0.229,26,70,40,0,85,70,70,66,356,422,67.27,870,783,70
0.057,4,20,17,0,74.5,70,70,26,104,130,56.15,158,158,85
0.486,20,200,60,0,140,90,90,676,308,984,129.82,1580,1450,140
0.057,3,20,5,0,150,100,100,26,68,94,129.23,200,200,150
0.206,10,70,30,0,40,72.5,72.5,126,127,253,51.72,700,600,50
0.091,5,30,30,0,60,75,75,57,73,130,49.12,310,295,60
0.414,10,60,40,0,80,70,70,210,216,426,67.62,1000,900,60
0.128,5,26,12,0,80,70,75,68,98,166,57.35,270,270,80
0.143,5,40,20,0,150,95,100,75,107,182,130.67,284,284,140
0.093,4,35,10,0,160,100,100,34,40,74,132.06,238,218,160
0.143,5,30,20,0,40,80,80,95,78,173,37.11,500,470,50
0.043,3,15,10,0,50,80,80,1,60,60,45.5,150,150,60
0.07,2,25,5,0,80,70,70,1,76,76,66.28,250,250,56
0.036,1,5,2,0,65,70,70,1,70,70,48.5,95,95,80
0.143,5,30,15,0,200,100,100,16,138,154,150,434,434,140
0.071,2,15,5,0,200,100,100,1,75,75,135.5,200,200,150
0.143,6,30,20,0,40,80,80,45,99,144,54.47,450,405,55
0.071,3,15,10,0,60,80,80,29,64,93,55.17,250,225,65
0.213,7,46,29,250,70,75,75,38,103,141,51.32,580,545,56
0.071,3,15,8,0,100,75,75,16,46,62,47.5,210,200,85
0.357,20,100,25,500,150,90,90,122,240,362,123.11,1444,1300,140
0.143,6,30,10,0,100,100,100,76,117,193,136.32,533,480,160
0.143,6,25,15,0,50,80,80,32,128,160,41.18,372,372,50
0.071,3,12,8,0,60,80,80,16,64,80,56.25,186,186,60
0.143,3,20,10,0,97,70,70,1,103,103,66.28,372,372,65
0.071,3,15,5,0,80,75,75,24,34,58,52.5,110,110,85
0.185,5,70,30,0,130,100,100,35,317,352,120,810,720,130
0.114,2,30,20,0,150,100,110,21,163,184,124.29,600,600,150
0.133,10,50,50,0,45,78,80,50,125,175,53.46,875,785,60
0.156,6,25,25,0,60,75,75,50,117,167,52,270,270,60
0.179,5,30,30,50,50,70,70,45,133,178,62.22,570,570,60
0.107,4,20,5,50,75,70,70,31,126,157,45.81,275,265,80
0.2,6,60,30,0,140,100,100,80,165,245,140,1100,900,140
0.114,4,25,25,0,140,100,100,4,244,248,152.5,500,500,160
0.56,15,75,35,0,40,80,80,216,85,301,41.74,1388,1250,50
0.406,8,60,20,0,60,82,82,109,29,138,38.53,930,837,60
0.286,10,75,50,0,81,70,70,75,142,217,53.33,1457,1333,73
0.286,10,60,40,0,100,70,70,81,97,178,53.09,440,390,80
0.286,20,100,50,0,150,100,100,179,184,363,123.46,1110,1000,140
0.164,10,70,30,0,160,100,100,87,139,226,124.14,780,700,160
0.214,16,70,30,180,40,80,80,56,85,141,50,930,837,60
0.143,6,40,20,0,60,80,80,14,52,66,38.57,620,558,60
0.22,10,25,75,0,80,70,70,63,98,161,65.71,850,790,56
0.171,7,30,20,0,73,70,70,38,61,99,42.11,248,236,81
0.371,15,100,25,0,140,90,90,337,109,446,130.71,1500,1350,140
0.193,8,50,25,0,160,90,90,137,110,247,145.62,840,756,160
0.7,25,100,50,0,40,75,75,498,175,673,60,2500,2250,60
0.5,20,75,25,0,60,75,75,210,156,366,52.38,1800,1620,65
0.714,20,150,75,0,80,70,70,296,58,354,58.92,2000,1800,66
0.6,20,200,20,0,100,70,70,579,64,643,45.03,1100,1000,96
0.429,15,80,20,0,140,95,95,252,212,464,139.44,1950,1600,140
0.429,15,60,20,0,160,100,100,252,162,414,139.44,1100,1000,160
0.071,2,15,7,0,40,80,80,5,102,107,38.57,250,250,50
0.071,2,15,7,0,60,80,80,5,102,107,56,180,180,65
0.14,10,25,50,0,100,70,70,39,89,128,58.97,450,450,66
0.07,2,20,10,0,85,75,75,29,81,110,57.76,150,150,85
0.214,10,60,20,0,300,100,100,90,232,322,123.33,1200,1000,150
0.071,3,20,5,0,300,100,100,24,128,152,125.5,300,270,160
1.12,33,270,170,0,40,80,80,660,221,881,66.31,4300,3870,65
0.322,6,70,30,0,60,80,80,330,114,444,52.09,1660,1494,60
0.428,10,75,75,0,70,70,70,112,44,156,63.21,1300,1202,66
0.3,15,75,15,0,100,70,70,175,54,229,54.29,700,630,85
0.429,25,65,65,0,150,90,95,433,138,571,122.17,1483,1335,140
0.214,12,30,30,0,150,100,100,238,122,360,126.05,780,700,160
0.164,6,8,7,0,40,80,80,34,85,119,44.44,700,630,55
0.086,3,4,3,0,60,80,80,1,95,95,45.5,350,350,60
0.157,15,50,50,0,70,70,70,183,116,299,63.77,840,800,56
0.1,9,10,8,0,85,70,70,65,65,130,43.08,160,149,85
0.393,12,85,25,0,150,90,95,200,287,487,129,928,928,140
0.106,3,20,15,0,200,100,100,16,195,211,150,330,300,160
0.143,6,35,25,150,40,80,80,64,82,146,50,434,391,52
0.057,3,13,12,0,60,80,80,37,42,79,59.46,200,180,60
0.214,6,35,25,0,80,70,70,54,137,191,66.41,550,505,56
0.1,5,15,4,0,83,70,70,31,99,130,59.35,230,210,85
0.314,15,70,30,0,120,90,90,112,291,403,123.75,1530,1280,140
0.121,4,30,15,0,150,90,90,26,175,201,139.23,400,400,160
0.56,14,100,75,500,40,78,80,1,677,677,46.67,2600,2160,55
0.455,20,50,20,0,60,78,78,1,177,177,45.5,1160,1044,60
0.571,16,100,0,0,80,65,65,115,484,599,69.13,1650,1420,56
0.465,13,62,18,0,80,70,75,69,212,281,45.65,574,549,90
0.321,10,70,25,0,200,80,80,36,400,436,120.67,1300,1150,140
0.036,2,6,5,0,200,100,100,1,62,62,120.5,100,100,150
0.286,7,95,30,0,40,80,80,75,435,510,61.04,1200,1200,50
0.143,4,35,20,0,60,80,80,12,184,196,50,630,600,60
0.357,30,100,50,125,80,68,68,70,312,382,62.86,1010,910,56
0.143,7,30,20,0,100,70,70,105,152,257,51.43,490,405,80
0.121,4,35,25,0,150,100,100,48,140,188,128.33,512,472,140
0.079,3,25,10,0,175,100,100,28,94,122,128.57,300,300,160
0.357,10,50,30,0,40,80,80,47,130,177,53.06,992,893,55
0.1,3,15,10,0,60,80,80,28,39,67,38.57,186,167,60
0.286,10,30,20,0,81,75,75,127,195,322,70.87,868,812,56
0.1,3,8,4,0,74,72,72,19,68,87,46.84,162,156,80
0.321,10,65,30,0,140,90,90,46,424,470,122.35,1000,1000,140
0.193,5,40,20,0,160,90,90,10,159,169,126,550,550,160
0.279,6,48,39,0,40,80,80,58,133,191,59.31,596,546,55
0.107,3,10,5,0,60,80,80,32,129,161,56.25,210,210,65
0.071,3,5,6,0,80,75,75,1,134,134,66.28,195,195,58
0.071,3,4,4,0,80,70,70,46,43,89,49.13,132,120,81
0.143,5,40,10,0,140,80,100,74,189,263,124.11,600,500,140
0.071,3,20,5,0,150,100,100,22,67,89,145.45,240,200,150
0.21,9,70,50,250,40,78,80,75,130,205,54,640,550,50
0.212,4,45,18,0,60,70,70,72,167,239,50,446,422,64
0.214,15,50,20,0,80,70,70,86,202,288,62.33,860,749,56
0.143,3,70,20,0,80,70,75,35,121,156,51.43,279,252,80
0.114,4,40,19,0,150,80,100,126,188,314,125.08,455,410,140
0.071,3,27,13,0,150,85,85,33,118,151,127.27,250,250,150
0.357,12,50,20,360,40,70,70,250,196,446,46.05,2170,1953,55
0.143,4,25,25,0,63,80,80,76,92,168,30.26,430,387,60
0.286,10,100,50,0,80,70,70,119,146,265,69.75,1050,960,56
0.1,2,30,30,0,80,70,70,81,53,134,49.51,186,168,80
0.287,10,60,25,0,140,90,90,60,228,288,126.67,1000,900,140
0.129,5,25,15,0,160,90,90,16,144,160,132.5,320,288,160
0.286,6,50,50,250,40,80,80,175,93,268,32.77,1000,900,50
0.143,3,25,25,0,60,80,80,64,90,154,38.13,400,360,60
0.142,5,25,25,0,80,70,70,14,112,126,70.57,500,465,56
0.214,7,32,28,0,80,70,70,45,150,195,40,310,310,80
0.171,6,40,20,0,140,90,90,16,292,308,120,500,500,140
0.15,5,30,20,0,140,90,90,1,183,183,120.5,350,350,150
0.084,6,20,10,0,40,80,80,1,110,110,46.67,300,270,50
0.014,2,5,3,0,60,80,80,1,28,28,45.5,262,236,60
0.1,7,20,10,0,80,70,70,14,89,103,62.86,320,320,56
0.071,4,7,7,0,80,75,75,1,76,76,48.5,100,100,80
0.214,8,60,40,0,140,100,100,30,174,204,121.67,700,700,140
0.074,5,40,10,0,160,100,100,1,111,111,120.5,150,150,160
0.098,5,20,10,0,40,80,80,27,115,142,31.03,325,319,50
0.056,3,15,10,0,60,75,75,1,57,57,45.5,240,220,60
0.1,5,15,10,0,80,70,70,1,220,220,66.28,510,510,58
0.04,3,12,8,0,100,70,70,14,112,126,42.86,120,120,80
0.164,7,50,50,0,140,80,80,43,458,501,126.63,730,730,140
0.086,3,15,10,0,150,100,100,32,243,275,120,364,364,150
0.143,5,50,15,0,40,80,80,10,204,214,56.67,600,540,55
0.043,1,5,5,0,60,80,80,1,84,84,45.5,200,200,60
0.229,4,40,40,0,81,80,80,60,161,221,70.17,744,744,65
0.043,3,15,9,0,80,70,70,1,82,82,48.5,124,124,81
0.277,15,125,75,0,140,95,96,270,450,720,127.41,1025,945,140
0.186,10,75,25,0,150,100,100,106,196,302,130.19,784,720,150
0.571,20,75,25,0,40,80,80,135,270,405,44.85,1240,1116,50
0.071,5,15,10,0,60,80,80,1,118,118,45.5,164,164,60
0.571,13,125,75,0,76.92,70,70,145,520,665,65.52,1240,1119,65
0.355,15,31,24,0,80,75,75,156,161,317,51.28,420,420,80
0.464,15,100,45,0,140,90,90,210,220,430,151.43,1800,1620,140
0.321,10,75,30,0,160,90,90,10,260,270,120,1600,1300,160
0.346,10,40,15,425,60,80,80,50,137,187,54.62,600,550,60
0.186,5,20,5,425,60,70,70,10,189,199,30,327,300,60
0.345,11,35,35,1500,70,70,70,42,268,310,62.34,725,652,70
0.185,5,47,5,225,80,80,80,66,152,218,69.7,315,275,80
0.572,20,195,100,1500,120,90,90,111,682,793,147.39,2224,2006,90
0.606,22,127,80,2400,150,90,90,122,692,814,127.79,2520,2300,135
0.242,6,25,20,900,70,80,80,166,100,266,61.43,550,450,70
0.107,4,19,19,675,70,80,80,120,94,214,39.17,495,450,70
0.178,20,50,50,1000,70,70,70,90,174,264,68.44,605,550,70
0.142,5,90,25,200,125,80,80,94,172,266,53.19,400,350,80
1.053,45,235,115,1200,120,95,95,317,385,702,151.58,2640,2400,100
1.053,45,235,115,1200,150,90,90,490,385,875,131.58,3970,3400,135
0.4,10,75,50,900,74,75,75,180,48,228,53.04,1308,1200,65
0.157,5,30,5,0,75,80,80,72,42,114,59.44,600,550,64
0.385,12,170,50,600,70,70,70,168,80,248,66.79,1230,1100,70
0.085,3,38,3,200,175,80,80,42,70,112,64.29,220,200,75
1.224,36,240,175,10000,100,95,95,331,91,422,134.74,5874,5340,120
0.265,8,100,65,0,100,95,95,90,127,217,135,1492,1200,125
0.121,2,10,10,150,75,80,80,12,124,136,51.43,250,250,70
0.05,8,10,10,0,70,80,80,12,124,136,50,225,225,70
0.5,2,20,20,1000,75,70,70,12,42,54,60,200,180,70
0.08,2,12,3,350,150,70,70,6,66,72,48.33,120,100,80
0.092,3,14,14,500,120,100,100,5,99,104,150,378,360,90
0.092,3,14,14,500,120,95,100,5,96,101,120,234,234,120
0.4,18,105,36,0,70,75,75,290,119,409,55.55,2420,2200,70
0.35,14,94,0,0,70,74,74,190,119,309,41.58,2145,1950,70
0.348,15,80,50,300,60,70,70,95,197,292,50,1540,1400,70
0.85,9,52,40,0,150,70,70,238,290,528,50.76,2380,2150,80
0.286,10,79,50,0,120,90,90,209,175,384,159.95,1947,1758,100
0.4,13,112,86,0,125,90,90,205,234,439,120.24,2456,2230,145
0.211,8,50,50,270,70,80,80,24,142,166,66.15,900,820,70
0.211,8,50,50,270,70,80,80,60,142,202,41.67,500,500,70
0.28,10,40,40,400,65,75,75,25,105,130,48,1080,972,65
0.242,7,54,12,150,125,72,72,126,161,287,50,835,750,70
0.175,8,63,38,0,120,95,100,51,196,247,134.9,564,520,90
0.21,9,65,40,0,150,100,100,31,205,236,123.48,1240,1020,135
0.164,5,16,8,300,80,76,80,308,252,560,59.03,600,550,80
0.164,5,16,8,300,80,80,80,1,140,140,52.5,240,210,60
0.203,8,25,10,250,70,75,75,50,106,156,52,810,800,70
0.185,11,21,9,0,150,70,70,206,235,441,45.63,440,400,80
0.349,16,85,30,800,120,90,100,105,120,225,152.86,1175,1068,90
0.349,16,85,15,800,150,90,100,105,120,225,162.86,1107,1006,135
0.286,8,50,0,0,50,80,80,310,71,381,57.35,763,700,50
0.186,8,50,0,0,50,80,80,40,166,206,60.65,654,600,60
0.214,7,40,0,450,70,70,70,60,60,120,62.5,280,200,70
0.19,6,38,0,250,150,72,72,102,125,227,54.9,660,600,90
0.129,5,41,9,0,200,100,100,90,98,188,134.44,428,380,100
0.129,5,41,9,0,250,100,100,80,84,164,128.75,594,540,125
0.157,3,15,10,500,80,80,80,160,77,237,51.43,464,400,80
0.157,3,15,10,300,80,80,80,20,77,97,60,364,300,80
0.157,5,15,10,500,80,72.5,72.5,18,272,290,62.33,530,450,80
0.157,50,25,15,0,175,75,80,39,131,170,57.69,737,670,80
0.186,7,70,42,750,133,100,100,60,107,167,155,654,600,101
0.186,7,70,42,750,160,100,100,60,98,158,165,598,552,145.83
0.214,5,25,1,100,80,80,80,30,236,266,67.5,640,600,80
0.214,5,25,1,100,80,78,78,36,260,296,57.78,540,500,80
0.114,4,10,2,120,70,70,70,36,109,145,64.44,228,210,75
0.114,2,10,5,125,150,70,70,84,104,188,48.81,210,210,70
0.3,12,65,85,700,180,90,90,172,318,490,155.99,1194,1086,100
0.3,12,70,80,0,180,90,90,172,318,490,165.99,1560,1300,130
0.2,6,15,0,0,90,80,80,90,61,151,45.65,709,650,90
0.157,5,10,0,0,90,80,80,75,66,141,48,545,500,90
0.193,7,15,5,0,70,70,70,141,75,216,60.68,250,225,70
0.194,13,7,0,0,138,70,70,160,131,291,46.88,320,300,80
0.192,9,28,57,0,120,93,90,75,141,216,145.33,1106,1031,90
0.192,9,28,57,0,135,93,90,39,141,180,142.05,1106,1031,135
0.423,15,100,30,400,70,80,80,432,173,605,66.2,1090,1000,70
0.137,6,35,15,175,70,80,80,76,88,164,57.89,545,500,70
0.414,15,100,40,1000,70,70,70,66,97,163,53.03,500,500,70
0.128,4,40,0,0,80,75,75,135,76,211,48.15,320,270,75
0.272,12,170,35,1000,120,90,90,180,88,268,125.56,2168,1958,100
0.272,12,180,25,1000,150,90,90,158,149,307,125.63,2347,2120,135
0.143,6,60,40,300,80,80,80,40,165,205,52.38,763,700,70
0.143,6,60,40,300,80,80,80,115,183,298,59.57,763,700,70
0.16,10,25,25,850,80,75,75,1,316,316,52.64,440,410,70
0.099,5,25,10,0,175,70,72,123,130,253,53.17,385,350,90
0.242,7,50,28,750,200,90,90,15,261,276,140,640,600,90
0.215,7,50,28,750,200,90,90,20,253,273,130,1325,1125,125
0.078,2,8,0,120,80,80,80,1,77,77,58.33,200,200,80
0.028,2,8,0,60,80,80,80,1,77,77,52.5,100,100,80
0.028,2,6,0,250,52.5,70,70,1,70,70,62.24,100,100,70
0.028,1,10,0,0,150,75,75,5,26,31,50,100,100,75
0.129,7,75,15,600,150,80,82,15,112,127,136.67,476,433,100
0.129,7,75,15,0,150,95,95,15,151,166,136.67,802,756,120
0.357,16,40,40,0,60,80,80,215,266,481,42.63,1090,1000,70
0.142,3,1,0,0,60,75,75,8,183,191,55,436,400,60
0.511,30,100,50,700,70,70,70,130,264,394,78.13,1200,1080,70
0.185,10,17,3,1400,125,70,70,24,130,154,56.67,460,400,75
0.372,20,62,62,310,250,90,90,132,102,234,139.39,1836,1688,100
0.844,37,140,140,500,149,90,90,558,378,936,114.12,2992,2700,135
0.1,3,20,8,150,80,80,80,10,70,80,61.88,273,250,80
0.057,2,20,5,0,80,80,80,10,59,69,56,273,250,85
0.093,4,30,9,0,75,75,75,24,45,69,66.67,380,340,75
0.092,6,32,6,450,80,72,72,20,84,104,55,150,150,80
0.107,5,31,21,800,120,90,90,36,93,129,147.22,603,563,90
0.213,10,71,41,1600,120,90,90,53,177,230,139.81,1257,1150,135
0.084,4,20,8,150,61.25,80,80,12,114,126,52.5,350,350,70
0.055,2,10,5,150,70,80,80,6,114,120,58.33,250,250,70
0.124,5,15,20,600,75,75,75,54,52,106,68.52,430,400,70
0.121,2,25,12,100,125,70,70,12,76,88,56.67,360,320,80
0.222,10,74,35,450,122,90,90,28,314,342,131.43,1276,1250,90
0.222,10,61,31,0,135,95,95,12,221,233,120,1350,1230,120
0.071,3,15,10,150,80,80,80,42,27,69,55.45,273,250,75
0.071,3,15,10,150,80,80,80,60,27,87,50,273,250,75
0.143,6,50,50,600,75,70,70,98,33,131,70.61,436,400,75
0.057,3,25,5,200,125,70,72,58,46,104,48.28,310,280,80
0.358,14,100,150,750,120,100,100,250,33,283,130,1834,1667,100
0.358,14,100,150,750,135,100,100,250,18,268,129,1834,1667,135
0.185,10,80,50,800,65,80,80,30,132,162,60,610,600,65
0.114,6,80,30,700,65,75,80,80,101,181,47.5,500,500,65
0.214,12,50,25,670,75,70,70,30,83,113,68.23,850,765,75
0.085,3,16,4,150,150,70,75,16,187,203,56.25,210,184,80
0.212,9,109,40,500,150,95,95,108,135,243,141.67,792,720,90
0.212,9,100,40,500,200,90,90,128,114,242,141.41,766,696,125
0.178,8,30,15,450,70,80,80,102,90,192,57.69,440,412,70
0.093,2,5,10,150,65,80,80,44,76,120,54.55,220,200,70
0.187,12,30,15,850,75,75,75,72,71,143,50,350,315,75
0.074,2,13,8,150,150,70,70,40,48,88,40,220,200,75
0.194,8,47,70,750,120,90,90,101,156,257,154.95,1118,1000,90
0.315,13,114,67,300,150,90,90,146,239,385,163.01,1431,1329,135
